Modelname	tag	Guideexist	QMRFexist	QMRFlink	Guid	Description	Description(long)	GuideUrl	Unit(original)	Unit(original) (#1)	Unit	UnitName	UnitFamily	Lambda	Classes	ClassesGUID	Endpoint location1	Endpoint location2	Endpoint location3	Endpoint	Endpoint comment	Test type	Duration(value)	Duration(unit)	Duration(Original)	Effect	Kingdom	Phylum	Class	Test organisms (species)	Sex	Route of administration	Organ	Strain	Metabolic activation	Type of method	Assay provider	Test guideline	Reference	Reference Link	R2(Train)	RMSE(Train)	Q2(Train)	Fisher(Train)	S(Train)	R2(Invisible training)	RMSE(Invisible training)	Q2(Invisible training)	Fisher(Invisible training)	S(Invisible training)	R2(Calibration)	RMSE(Calibration)	Q2(Calibration)	Fisher(Calibration)	S(calibration)	R2(Test)	RMSE(Test)	Fisher(Test)	S(Test)	Accuracy(Train)	Specificity(Train)	Sensitivity(Train)	Accuracy(Internal Valid)	Specificity(Internal Valid)	Sensitivity(Internal Valid)	Accuracy(Test)	Specificity(Test)	Sensitivity(Test)
Persistence (water) model (IRFMN)	p_water_irfmn	x	x	QMRF_PERSISTENCE_WATER_CLASS.pdf	80fdf9ab-2f8b-477b-ba93-603fc9a678ee	Persistence (water) model	Persistence (water) model developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_PERSISTENCE-Water_1_0_0.pdf	null	no unit	no unit	no unit	Persistence		nP;nP/P;vP;P/vP;Non Predicted	379f441b-1b76-401a-89e4-ab0d9d6f6c86	Environmental Fate and Transport	Biodegradation	Biodegradation in water and sediment: Screening Tests	Persistence		Aerobic Mineralisation in Surface Water â€“ Simulation Biodegradation Test																OECD 309	Gramatica, P., & Papa, E. (2007). Screening and ranking of POPs for global half-life: QSAR approaches for prioritization based on molecular structure. Environmental science & technology, 41(8), 2833-2839.	10.1021/es061773b																				0.76								
Persistence (water) quantitative model (IRFMN)	pq_water_irfmn	x	x	QMRF_PERSISTENCE_WATER_REG.pdf	a189ade8-0d41-4d72-822e-6b2eec6e2312	Persistence (water) quantitative model	Persistence (water) quantitative model developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_WATER_QUANTITATIVE_1_0_0.pdf	log(days)	log(d)	log(d)	d	Time			e11480ee-6094-4865-9a8a-ea846fbba2f6	Environmental Fate and Transport	Biodegradation	Biodegradation in water and sediment: Screening Tests	Persistence		Aerobic Mineralisation in Surface Water â€“ Simulation Biodegradation Test																OECD 309	Gouin, T., Cousins, I., Mackay, D., 2004. Comparison of two methods for obtaining degradation half-lives. Chemosphere 56, 531â€“535	10.1016/j.chemosphere.2004.04.018	0.89	0.28														0.84	0.34											
Air Half-Life (IRFMN/CORAL)	p_air_coral		x	QMRF_Air_HL_CORAL.pdf	b10f47d4-8c9e-40cf-9a5b-d6784825b69b	Quantitative model for Air Half-Life .	Quantitative model for Air Half-Life developed by CORAL software at IRFMN.	VEGA_model_guide_PERS-AIR-CORAL_1_0_0.pdf	log(hours)	log(h)	log(h)	h	Time			138f5793-815c-4ba8-bccb-7c85e7b23d88	Environmental Fate and Transport	Transport and Distribution between Environmental Compartments		Half-life	air half-life					persistence	environment											OECD	https://doi.org/10.1016/j.jhazmat.2019.121035		0.811	0.392	0.803			0.7	0.495	0.693			0.711	0.495	0.693															
LogP model (Meylan/Kowwin)	logp_meylan	x	x	QMRF_VEGA_LogP_Meylan_Kowwin_1.4.4.pdf	d045dccc-e506-47d2-8713-c5ed4e9f406b	LogP model based on Meylan work (and implemented in EPI Suite software as KowWin).	LogP prediction based on Meylan work (W.M. Meylan, P.H. Howard, Atom/fragment contribution method for estimating octanol-water partition coefficients,Ã‚Â 1995,Ã‚Â J. Pharm. Sci. 84:83-92) and implemented in EPI Suite software as KowWin. Model developed inside the VEGA platform.	VEGA_model_guide_LogP_1_1_4.pdf	null	no unit	Unknown	Unknown	Unknown			4baad0e0-62a9-4b64-9460-c6282c71cb2e	Physical Chemical Properties	Partition Coefficient:		LogP	The octanol/water partition coefficient (Kow) is defined as the ratio of a chemical's concentration in the octanol phase to its concentration in the aqueous phase of a two-phase octanol/water system.																		Meylan, W.M. and P.H. Howard, Atom/fragment contribution method for estimating octanol/water partition coefficients. 1995, J. Pharm. Sci. 84: 83-92	10.1002/jps.2600840120	0.86	0.76														0.943												
LogP model (MLogP)	logp_mlogp	x	x	QMRF_VEGA_MLogP_1.0.0.pdf	1b7bb50d-26e5-4d98-9147-bac9b51b14f2	LogP model based on MLogP descriptor.	LogP prediction based on the Moriguchi octanol-water partition coefficient (MLogP), calculated from Moriguchi logP model consisting of a regression equation based on 13 structural parameters (I.Moriguchi, S.Hirono, Q.Liu, I.Nakagome, and Y.Matsushita, Chem.Pharm.Bull. 1992, 40, 127-130; I.Moriguchi, S.Hirono, I.Nakagome, H.Hirano, Chem.Pharm.Bull. 1994, 42, 976-978).	VEGA_model_guide_MLogP_1_0_0 .pdf	null	no unit	Unknown	Unknown	Unknown			6f237972-ef00-43f1-bb1a-bf62370dd653	Physical Chemical Properties	Partition Coefficient:		LogP	The octanol/water partition coefficient (Kow) is defined as the ratio of a chemical's concentration in the octanol phase to its concentration in the aqueous phase of a two-phase octanol/water system.																		I.Moriguchi, S.Hirono, Q.Liu, I.Nakagome, and Y.Matsushita, Chem.Pharm.Bull. 1992, 40, 127-130; I.Moriguchi, S.Hirono, I.Nakagome, H.Hirano, Chem.Pharm.Bull. 1994, 42, 976-978.	https://doi.org/10.1248/cpb.40.127 https://doi.org/10.1248/cpb.42.976					0.411											0.73	0.96											
LogP model (ALogP)	logp_alogp	x	x	QMRF_VEGA_ALogP_1.0.0.pdf	da14ca82-becf-467d-aeb2-22b5f31a4545	LogP model based on ALogP descriptor.	LogP prediction based on Ghose-Crippen-Viswanadhan octanol-water partition coefficient (ALogP), calculated from the AlogP model consisting of a regression equation based on the hydrophobicity contribution of 115 atom types (A.K. Ghose and G.M. Crippen, J. Comput. Chem. 1986, 7, 565-577; V.N. Viswanadhan et al., J. Comput. Chem. 1993, 14, 1019-1026; A.K. Ghose, V.N. Viswanadhan, J.J. Wendoloski, J.Phys.Chem. A 1998, 102, 3762-3772).	VEGA_model_guide_ALogP_1_0_0.pdf	null	no unit	Unknown	Unknown	Unknown			c1e56736-2932-4d2b-b8f4-3c71e50e1957	Physical Chemical Properties	Partition Coefficient:		LogP	The octanol/water partition coefficient (Kow) is defined as the ratio of a chemical's concentration in the octanol phase to its concentration in the aqueous phase of a two-phase octanol/water system.																		A.K. Ghose, V.N. Viswanadhan, J.J. Wendoloski, J.Phys.Chem. A 1998, 102, 3762-3772.	https://doi.org/10.1021/jp980230o	0.9															0.84	0.72											
Water solubility model (IRFMN)	water_sol		x	QMRF_WS_IRFMN.pdf	4c39df39-b4d8-4346-9a2f-24546cfd107a	Quantitative model for water solubility.	Quantitative model for water solubility, consisting in an ANN built on the dataset extracted from the EPA T.E.S.T. software. Developed by IRFMN.	VEGA_model_guide_WS-IRFMN_1_0_0.pdf	#NOME?	log(1/mol/L)	log(1/mol/L)	mol/L	Molar concentration			6ff94fc2-60ae-4a44-8315-590cccddb708	Physical Chemical Properties	Water solubility		WS	Water solubility is a measure of the amount of chemical substance that can dissolve in water at a specific temperature.																		VEGA v. 1.4.4 (https://www.vegahub.eu/portfolio-item/vega-qsar/)	https://www.vegahub.eu/portfolio-item/vega-qsar/	0.86	0.84														0.83	0.93											
Hydrolysis (IRFMN/CORAL)	hydro_coral		x	QMRF_HYDROYSIS_IRFMN.pdf	9f702c89-1916-41e0-8217-bfabb6f2e35c	Quantitative model for hydrolysis.	Quantitative model for hydrolysis developed by CORAL software at IRFMN.	VEGA_model_guide_HYDROLISIS-CORAL_1_0_0.pdf	log(days)	log(d)	log(d)	d	Time			8ec46d74-4e62-4ca9-b02c-2a39fd8a1de8	Environmental Fate and Transport	Stability in Water		Hydrolysis																					0.717	0.938	0.6929	106							0.8542	0.513	0.8043	70		0.6643	0.6327											
Henry's Law model (OPERA)	henry_opera		x	QMRF_HL_OPERA.pdf	6547df51-e1c4-4985-8d87-4f207977fb62	KNN model for Henry's Law	KNN model for Henry's Law from the OPERA software.	VEGA_model_guide_HENRY_OPERA_1_0_0.pdf	Log atm-m3/mole	Log atm-m3/mole	log(atm-m3/mole)	atm-m3/mole	Pressure per mole			4053f136-c63f-4e29-924b-454358c5e2c8	Environmental Fate and Transport	Transport and Distribution between Environmental Compartments		HL																					0.84	1.91	0.84													0.85	1.82											
KOC model (OPERA)	koc_opera	x	x	QMRF_KOA_OPERA.pdf	ee2714f7-7243-459d-8582-fc63dfc42a9d	KNN model for KOC (soil adsorption coefficient of organic compounds)	KNN model for KOC (soil adsorption coefficient of organic compounds) from the OPERA software.	VEGA_model_guide_KOC_OPERA_1_0_0.pdf	log(L/Kg)	log(L/Kg)	log(L/kg)	L/kg	Specific volume			76947822-f7ac-4827-931c-262b416ae75d	Environmental Fate and Transport	Transport and Distribution Between Environmental Compartments	Adsorption/desorption	Koa																					0.95	0.65	0.95													0.96	0.68											
KOA model (OPERA)	koa_opera	x	x	QMRF_KOC_OPERA.pdf	627cb43d-b0e0-4f65-8bde-f2ae1f99a47d	KNN model for KOA (octanol/air coefficient)	KNN model for KOA (octanol/air coefficient) from the OPERA software.	VEGA_model_guide_KOA_OPERA_1_0_0.pdf	log units	log units	log(L/kg)	L/kg	Specific volume			b55620c1-fb81-414f-8ee1-773a450a0bb2	Environmental Fate and Transport	Transport and Distribution Between Environmental Compartments	Adsorption/desorption	Koc																					0.81	0.54	0.81													0.71	0.61											
Skin Permeation (LogKp) model (Potts and Guy)	skin_perm_potts		x	QMRF_SKIN_KP_POTTS.pdf	8da36519-a87d-477d-99ee-c1e23aa3b608	Quantitative model for skin permeation (LogKp), Potts and guy formula.	Quantitative model for skin permeation (LogKp), Potts and guy formula.	VEGA_model_guide_SKINPERM-POTTS_1_0_0.pdf	log(cm/h)	log(cm/h)	log(cm/h)	log(cm/h)	Dose Rate (Area)			2f1ddbc0-c900-4d8f-8077-dbf0bcd996f2	Human Health Hazards	Toxicokinetics, Metabolism and Distribution		Kp	The skin permeability (Kp) defines the rate of a chemical penetrating across the stratum corneum. This value is widely used to quantitatively describe the transport of molecules in the outermost layer of epidermal skin and indicate the significance of skin absorption.																		Predicting skin permeability; Potts RO, Guy RH (1992)	DOI:10.1023/a:1015810312465	0.54	0.87																										
Skin Permeation (LogKp) model (Ten Berge)	skin_perm_ten		x	QMRF_SKIN_KP_TENBERGE.pdf	72493b24-7f57-416a-896a-e491a1723e0a	Quantitative model for skin permeation (LogKp), Ten Berge 3 formula.	Quantitative model for skin permeation (LogKp), Ten Berge 3 formula.	VEGA_model_guide_SKINPERM-TENBERGE_1_0_0.pdf	log(cm/h)	log(cm/h)	log(cm/h)	log(cm/h)	Dose Rate (Area)			2f1ddbc0-c900-4d8f-8077-dbf0bcd996f2	Human Health Hazards	Toxicokinetics, Metabolism and Distribution		Kp	The skin permeability (Kp) defines the rate of a chemical penetrating across the stratum corneum. This value is widely used to quantitatively describe the transport of molecules in the outermost layer of epidermal skin and indicate the significance of skin absorption.																		A simple dermal absorption model: Derivation and application; W. Ten Berge (2009)	doi:10.1016/j.chemosphere.2009.02.043	0.62	0.7																										
Chromosomal aberration model (CORAL)	chrom_coral		x	QMRF_CHROM_CORAL.pdf	F47592B3-ADE4-4F83-8B9F-D5E66EE9AC51	Classification model for chromosomal aberration,	Classification model for chromosomal aberration, developed with CORAL by Istituto Mario Negri, Italy	VEGA_model_guide_CHROM-CORAL_1_0_0.pdf	null	no unit	no unit	no unit	Mutagenicity		Not predicted;Inactive;Active	C2316562-D6A5-486C-A470-89C1A2130463																																																				
Aromatase activity model (IRFMN)	aroma_irfmn		x	QMRF_AROMA_IRFMN.pdf	2D396FC4-3D33-4795-A289-7E45C921C627	Qualitative model for aromatase	Qualitative model for aromatase, developed by IRFMN.	VEGA_model_guide_AROMA_1_0_0.pdf	null	no unit	no unit	no unit	In vitro Aromatase Activity		Inactive;Active agonist;Active antagonist;Not predicted	FB7E9BC1-3F86-4617-B738-6C4921CCAA74																																																				
In vivo Micronucleus activity (IRFMN)	mn_invivo		x	QMRF_MN_INVIVO.pdf	15853E24-5BB9-4B0A-AE80-DEF836D10EBA	Classification model for In Vivo Micronucleus activity (IRFMN).	Classification model for In Vivo Micronucleus activity (IRFMN).	VEGA_model_guide_MNVIVO-IRFMN_1_0_1.pdf	null	no unit	no unit	no unit	Mutagenicity		Not predicted;NON-genotoxic;Genotoxic	2520072F-FB55-4CC3-9F7F-CB7ECBF1B418																																																				
